trade_id,symbol,side,quantity,entry_price,exit_price,entry_time,exit_time,pnl,duration_hours,entry_day_of_week,entry_hour
THgT5QhV,SPX,Buy to Open,1.0,0.95,0.0,2024-10-03 18:49:41.853003+00:00,2025-01-25 17:44:45.246117+00:00,-0.95,2734.917609198333,4.0,18.0
Gyq96yJh,SPX,Buy to Open,5.0,54.5,0.0,2024-10-03 18:55:16.432466+00:00,2025-01-25 17:44:45.322045+00:00,-130.2,2734.824691549722,4.0,18.0
aiRWXmYw,SPX,Buy to Open,1.0,24.3,0.0,2024-10-03 19:49:53.819195+00:00,2025-01-25 17:44:45.433948+00:00,-24.3,2733.914337431389,4.0,19.0
akBg3qhS,SPX,Buy to Open,1.0,1.4,0.0,2024-10-04 13:31:42.049792+00:00,2025-01-25 17:44:45.484485+00:00,-1.4,2716.2176207480557,5.0,13.0
o7FavAbr,AMD,Buy to Open,1.0,0.17,0.0,2024-10-04 13:32:18.492209+00:00,2025-01-25 17:44:45.535043+00:00,-0.17,2716.2075118983335,5.0,13.0
2FV4J2Xd,AMD,Buy to Open,3.0,1.04,0.7,2024-10-04 13:43:03.061174+00:00,2025-01-25 17:44:45.595881+00:00,-0.53,2716.0284818630557,5.0,13.0
g3shqHqy,MSTR,Buy to Open,2.0,7.5,0.0,2024-10-04 19:55:35.739357+00:00,2025-01-25 17:44:45.947305+00:00,-15.0,2709.819502207778,5.0,19.0
JTX8yURC,SPX,Buy to Open,2.0,2.85,10.775,2024-10-07 15:14:20.639666+00:00,2025-01-25 17:44:46.065257+00:00,15.85,2642.507062664167,1.0,15.0
K3g96h9x,MSTR,Sell to Open,2.0,188.86,244.74,2024-10-07 15:22:43.109687+00:00,2024-11-01 14:07:28.277950+00:00,108.01,598.7458800730556,1.0,15.0
MAQhcZQs,AMD,Buy to Open,3.0,1.11,0.233333333333333,2024-10-07 15:24:00.127158+00:00,2025-01-25 17:44:46.190446+00:00,-1.78,2642.346128691111,1.0,15.0
KMfKh84h,COIN,Buy to Open,6.0,7.8,0.0,2024-10-07 15:25:03.226302+00:00,2025-01-25 17:44:46.247183+00:00,-46.8,2642.328616911389,1.0,15.0
EJAc6nHK,SOXL,Sell to Open,7.0,36.62,31.3478571428571,2024-10-07 15:31:12.666883+00:00,2024-11-01 14:31:40.829945+00:00,-41.525,599.0078230727778,1.0,15.0
iMafkBmL,SPX,Buy to Open,1.0,3.8,0.0,2024-10-08 16:06:15.141893+00:00,2025-01-25 17:44:46.626546+00:00,-3.8,2617.6420790702778,2.0,16.0
kpW2T9kS,CVNA,Buy to Open,1.0,1.16,0.0,2024-10-08 16:50:58.035425+00:00,2025-01-25 17:44:46.714608+00:00,-1.16,2616.8968553286113,2.0,16.0
QfbmfCFe,SPX,Buy to Open,1.0,0.45,0.0,2024-10-08 19:32:58.021282+00:00,2025-01-25 17:44:46.773420+00:00,-0.45,2614.1968755938888,2.0,19.0
A4UZqhJb,NVDA,Buy to Open,2.0,0.4,0.0,2024-10-09 14:04:32.838562+00:00,2025-01-25 17:44:46.830651+00:00,-0.8,2595.6705533580557,3.0,14.0
K54iZTDy,SPX,Buy to Open,1.0,1.3,0.0,2024-10-09 14:08:23.149393+00:00,2025-01-25 17:44:46.883812+00:00,-1.3,2595.6065928941666,3.0,14.0
YTGRsuFn,ES,Sell to Open,7.0,5821.5,5836.25,2024-10-09 15:02:34.196603+00:00,2024-10-09 20:59:03.520762+00:00,18.75,5.9414789330555555,3.0,15.0
HyAGoTmp,SPX,Buy to Open,1.0,38.5,0.0,2024-10-09 15:05:57.368313+00:00,2025-02-14 21:27:11.335512+00:00,-38.5,3078.3538797775,3.0,15.0
X4fJypSS,SOXL,Buy to Open,1.0,0.36,0.0,2024-10-10 15:24:42.534401+00:00,2025-01-25 17:44:47.444269+00:00,-0.36,2570.3346971855553,4.0,15.0
gJnb3mRZ,ES,Sell to Open,6.0,5829.75,5828.75,2024-10-10 15:37:46.368020+00:00,2024-10-28 22:17:49.108351+00:00,-6.0,438.66742786972225,4.0,15.0
mymyW7or,NVDA,Buy to Open,2.0,1.16,0.0,2024-10-10 16:36:45.229963+00:00,2025-01-25 17:44:47.633206+00:00,-2.32,2569.134000900833,4.0,16.0
B65DCcAe,SPX,Buy to Open,1.0,1.15,0.95,2024-10-10 17:25:22.373465+00:00,2025-01-25 17:44:47.777427+00:00,-0.2,2568.323723322778,4.0,17.0
kovPL4mu,AMD,Buy to Open,2.0,0.08,0.1,2024-10-11 17:31:10.310213+00:00,2025-01-25 17:44:47.924204+00:00,0.04,2544.2271149975,5.0,17.0
YWi3Yo5f,SOXL,Buy to Open,2.0,0.08,0.0,2024-10-11 18:37:06.589006+00:00,2025-01-25 17:44:48.080933+00:00,-0.16,2543.1281922019443,5.0,18.0
4GAwScXn,AMD,Buy to Open,2.0,0.12,0.0,2024-10-11 18:38:32.030701+00:00,2025-01-25 17:44:48.130536+00:00,-0.24,2543.1044721763888,5.0,18.0
ZUYpewJB,UVXY,Buy to Open,3.0,1.15,0.0,2024-10-11 19:10:19.456988+00:00,2025-01-25 17:44:48.178904+00:00,-3.45,2542.5746449766666,5.0,19.0
bpQ8Zrhr,UVXY,Buy to Open,3.0,26.44,28.78,2024-10-14 17:09:45.868763+00:00,2024-11-03 20:31:04.014444+00:00,7.02,483.35504046694444,1.0,17.0
